Muestra	Pragmático.N	Reflexivo.N	Activo.N	Teórico.N	Pragmático	Reflexivo	Activo	Teórico	Marca_temporal	Pograma	Universidad	área_estudio	nivel_académico	etapa_estudio	institución_escolar	preuniversitario	multi_carrera	desempeño_anterior	trabaja	experiencia_laboral	edad	edad2	tecnológico	tecnológico2	origen_geo	territorio	movilidad	lengua	idiomas	etnia	religión	nivel_socioeconómico	nivel_socioeconómico2	clase_social	func_física	func_cognitiva	func_cognitiva2	género	sexo	orientación_sexual	motivación	objetivo	proyección	estilo_VARK	1. ¿Cuál es el resultado de tu preferencia de aprendizaje según el cuestionario?
M1	15	15	13	13	Moderada	Baja	Moderada	Baja	2026/01/29 5:15:28 p. m. GMT-4	Ingeniería Industrial	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al final	Privado	No	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Blanco	Teísta	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VARK	Multimodal (VARK)
M2	13	17	13	15	Moderada	Moderada	Moderada	Moderada	2026/01/29 9:23:07 p. m. GMT-4	UCSP	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al final	Privado	No	No	Tercio medio	Sí	Sí	Estudiante universitario de mediana edad (25-39 años)	25-39 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Blanco	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	VAK	Multimodal (VAK)
M3	12	16	9	15	Baja	Moderada	Baja	Moderada	2026/03/19 12:45:28 p. m. GMT-4	Medicina Humana	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al inicio	Público	Sí	No	Tercio medio	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	K fuerte	Kinestésico, fuerte
M4	18	14	16	11	Alta	Baja	Alta	Muy baja	2026/03/19 12:47:44 p. m. GMT-4	Ingeniería ambiental 	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Indígena Aymara	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Dislexia	Dislexia	Hombre	Masculino	Homosexual (gay, lesbiana)	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Obtener buenas calificaciones.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	V muy fuerte	Visual, muy fuerte
M5	20	20	20	19	Muy alta	Muy alta	Muy alta	Muy alta	2026/03/19 1:03:06 p. m. GMT-4	Odontología	UCSM	Ciencias de la salud	Pregrado (o grado universitario)	Al medio	Público	Sí	No	Tercio medio	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel bajo: Conocimiento y manejo limitado de herramientas digitales	Bajo	Nacional (otras regiones de Perú)	Zona rural	Movilidad local (a otra provincia de la región de Arequipa)	Español	Bilingüe	Mestizo	Catolicismo	Nivel E: Ingreso familiar menor a S/1,300	Nivel E	Subclase o clase popular	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Evitar el desempleo o quedarme rezagado frente a mis pares (evitar consecuencias negativas).	Adquirir conocimientos.	Quiero desarrollarme y destacar en mi carrera (realización profesional).	R media	Lectura/Escritura, media
M6	15	18	6	11	Moderada	Alta	Muy baja	Muy baja	2026/03/19 1:13:06 p. m. GMT-4	Ing. Mecatrónica 	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Local (región de Arequipa)	Zona rural	Sin experiencia de movilidad	Español	Multilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Hombre	Masculino	Heterosexual	Superación personal y alcanzar metas propias.	Adquirir conocimientos.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	VK	Multimodal (VK)
M7	16	12	15	16	Moderada	Muy baja	Alta	Moderada	2026/03/19 1:35:08 p. m. GMT-4	Pregrado	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	Sí	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Bisexual	Superación personal y alcanzar metas propias.	Recibir distinciones o premios académicos.	Quiero vivir, estudiar o trabajar en otros países (experiencia internacional).	VARK	Multimodal (VARK)
M8	10	17	10	15	Muy baja	Moderada	Moderada	Moderada	2026/03/19 1:37:51 p. m. GMT-4	Pregrado	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Público	No	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel intermedio: Manejo adecuado de información y recursos digitales	Intermedio	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel D: Ingreso familiar entre S/1,300 y S/3,000	Nivel D	Clase media	Funcionalidad física típica (sin discapacidad)	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	Interés en aprender y descubrir cosas nuevas (orientación al conocimiento).	Adquirir conocimientos.	Quiero equilibrio entre trabajo, familia y salud (equilibrio vida-trabajo).	A fuerte	Auditivo, fuerte
M9	13	20	4	18	Moderada	Muy alta	Muy baja	Alta	2026/03/19 1:38:51 p. m. GMT-4	Pregrado	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	No	No	Tercio superior	No	No	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Monolingüe	Mestizo	Catolicismo	Nivel B: Ingreso familiar entre S/5,000 y S/25,000	Nivel B	Clase media	Limitaciones visuales	Dislexia	Dislexia	Mujer	Femenino	Bisexual	Obtener mejores oportunidades laborales o económicas (expectativa de beneficio económico o laboral).	Usar esta formación para acceder a posgrados o especializaciones.	Quiero continuar con posgrados o especializaciones (estudios avanzados).	K fuerte	Kinestésico, fuerte
M10	17	16	12	17	Alta	Moderada	Moderada	Alta	2026/03/19 1:40:28 p. m. GMT-4	Pre-grado	UCSM	Ingenierías y Tecnologías	Pregrado (o grado universitario)	Al inicio	Privado	Sí	No	Tercio superior	No	Sí	Estudiante universitario joven (16-24 años)	16-24 años	Nivel alto: Dominio avanzado de competencias digitales	Alto	Local (región de Arequipa)	Zona urbana	Sin experiencia de movilidad	Español	Bilingüe	Mestizo	Catolicismo	Nivel C: Ingreso familiar entre S/3,000 y S/5,000	Nivel C	Clase media	Limitaciones visuales	Funcionalidad cognitiva típica (sin discapacidad)	Típica	Mujer	Femenino	Heterosexual	La carrera que elegí corresponde a mis intereses o pasiones personales (orientación vocacional).	Adquirir conocimientos.	Quiero crear mi propio proyecto o empresa (emprendimiento).	VK	Multimodal (VK)
